4
0 20 30 40
20 0 20 30
30 20 0 20
40 30 20 0
5
  0 300 350 410 600
300   0 250 210 360
350 250   0 256 230
410 210 257   0  90
600 360 230  90   0
3
20 30 45
30 20 35
45 35 20
6
 0 10 20 30 40 50
10  0 15 35 30 60
20 15  0 25 40 75
30 35 25  0 80 50
40 30 40 80  0 20
50 60 75 50 20  0
14
   0  100  200  300  400  500  600  700  800 1000 1100 1200 1300 1400
 100    0   45  111  253  740   95 1414  392  555   75 2125  444  665
 200   45    0  245  605   32  114  480    9  832  285 1563  330  728
 300   111  245   0   84  505    5 1432    7  818  467  781  910  325
 400  253  605   84    0 1110   77  149  411 1745  813  153  315  513
 500  740   32  505 1110    0  567  576  579 2434  210  689  287  511
 600   95  114    5   77  567    0  325   17   34   76  165  919  115
 700 1414  480 1432  149  576  325    0  747  615  405  385  243  590
 800  392    9    7  411  579   17  747    0  348 1350  666  285  115
1000  555  832  818 1745 2434   34  615  348    0 1472  435 1555  268
1100   75  285  467  813  210   76  405 1350 1472    0 1259  805  444
1200 2125 1563  781  153  689  165  385  666  435 1259    0  963 2315
1300  444  330  910  315  287  919  243  285 1555  805  963    0    9
1400  665  728  325  513  511  115  590  115  263  444 2315    9    0
